Sales_ID,name,year,selling_price,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold,Car Age,car_company,car_model,car_new_name
56,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,East,Massachusetts,Boston,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,360Nm@ 1200-3400rpm,7,Y,9,Toyota,Innova,Crysta 2.8 ZX AT BSIV
57,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,South,Georgia,Atlanta,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,7,Y,9,Toyota,Innova,2.5 G (Diesel) 7 Seater
58,Audi A6 2.0 TDI Technology,2013,1750000,33900,South,Georgia,Atlanta,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,380Nm@ 1750-2500rpm,5,Y,12,Audi,A6,2.0 TDI Technology
59,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,South,Florida,Miami,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,173Nm@ 4000rpm,5,Y,7,Toyota,Corolla,Altis 1.8 VL CVT
60,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,400Nm@ 1750-3000rpm,5,Y,12,Audi,A6,2.0 TDI  Design Edition
61,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,400Nm@ 1400-2800rpm,5,Y,12,Mercedes-Benz,New,C-Class 220 CDI AT
62,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,200Nm@ 1750-3000rpm,5,Y,14,Tata,Manza,ELAN Quadrajet BS IV
63,Hyundai i10 Magna,2011,190000,110000,West,California,San Diego,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5,Y,14,Hyundai,i10,Magna
64,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,West,California,San Francisco,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,219.6Nm@ 1500-2750rpm,5,Y,12,Hyundai,i20,Asta 1.4 CRDi
65,Maruti Swift Dzire ZDI,2015,630000,147000,West,California,San Francisco,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5,Y,10,Maruti,Swift,Dzire ZDI
66,Ford Figo 1.2P Titanium MT,2017,600000,25000,East,District of Columbia,Washington,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,112Nm@ 4000rpm,5,Y,8,Ford,Figo,1.2P Titanium MT
67,Maruti Baleno Delta 1.2,2019,650000,30000,East,New York,New York City,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5,Y,6,Maruti,Baleno,Delta 1.2
68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,East,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,250Nm@ 1500-3000rpm,5,Y,9,Volkswagen,Ameo,1.5 TDI Highline 16 Alloy
69,Honda City i DTEC VX,2015,630000,135000,East,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,200Nm@ 1750rpm,5,Y,10,Honda,City,i DTEC VX
70,Maruti Wagon R AMT VXI,2018,448000,30000,East,District of Columbia,Washington,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,90Nm@ 3500rpm,5,Y,7,Maruti,Wagon,R AMT VXI
71,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,250Nm@ 1500-3000rpm,5,Y,8,Volkswagen,Ameo,1.5 TDI Comfortline
72,Maruti Vitara Brezza VDi,2016,745000,70000,East,Massachusetts,Boston,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,Y,9,Maruti,Vitara,Brezza VDi
73,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,East,Massachusetts,Boston,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,Y,6,Maruti,Vitara,Brezza ZDi Plus AMT
74,Hyundai i10 Magna,2011,235000,60000,East,New York,New York City,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5,Y,14,Hyundai,i10,Magna
75,Maruti Swift VDI Deca,2016,630000,70000,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190Nm@ 2000rpm,5,Y,9,Maruti,Swift,VDI Deca
76,Toyota Fortuner 4x4 MT,2015,1700000,78000,West,California,Los Angeles,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,343Nm@ 1400-3400rpm,7,Y,10,Toyota,Fortuner,4x4 MT
77,Maruti Swift Star VDI,2013,450000,120000,Central,Texas,Dallas,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,190Nm@ 2000rpm,5,Y,12,Maruti,Swift,Star VDI
78,Maruti Ertiga ZXI,2012,450000,120000,South,Florida,Miami,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,130Nm@ 4000rpm,7,Y,13,Maruti,Ertiga,ZXI
80,Volkswagen Vento Diesel Highline,2013,450000,170000,South,North Carolina,Charlotte,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,250Nm@ 1500-2500rpm,5,Y,12,Volkswagen,Vento,Diesel Highline
81,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,East,New York,New York City,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,8,Y,9,Toyota,Innova,2.5 VX (Diesel) 8 Seater
82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,205Nm@ 1750-3250rpm,5,Y,10,Ford,EcoSport,1.5 TDCi Titanium Plus BSIV
83,BMW X1 sDrive20i xLine,2016,2500000,30000,Central,Illinois,Chicago,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,280Nm@ 1350-4600rpm,5,Y,9,BMW,X1,sDrive20i xLine
84,Maruti Celerio ZXI MT BSIV,2017,484999,10000,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,90Nm@ 3500rpm,5,Y,8,Maruti,Celerio,ZXI MT BSIV
85,Datsun GO A Petrol,2016,275000,49000,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,104Nm@ 4000rpm,5,Y,9,Datsun,GO,A Petrol
86,Maruti Alto 800 VXI BSIV,2016,315000,32000,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5,Y,9,Maruti,Alto,800 VXI BSIV
87,Maruti Alto 800 LXI BSIV,2016,275000,38000,East,New York,New York City,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69Nm@ 3500rpm,5,Y,9,Maruti,Alto,800 LXI BSIV
89,Hyundai i10 Era 1.1,2012,290000,28000,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5,Y,13,Hyundai,i10,Era 1.1
90,Maruti Omni 8 Seater BSIV,2017,280000,32000,Central,Michigan,Detroit,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,6.1kgm@ 3000rpm,5,Y,8,Maruti,Omni,8 Seater BSIV
91,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,Central,Michigan,Detroit,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,77Nm@ 3500rpm,5,Y,15,Maruti,Wagon,R LXI LPG BSIV
92,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,110Nm@ 3750rpm,5,Y,10,Volkswagen,Polo,1.2 MPI Comfortline
93,Hyundai i10 Magna 1.1L,2015,351000,45000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5,Y,10,Hyundai,i10,Magna 1.1L
94,Volkswagen Vento Petrol Highline,2012,535000,12000,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,153Nm@ 3800rpm,5,Y,13,Volkswagen,Vento,Petrol Highline
95,Maruti Zen Estilo LXI BSIII,2009,175000,55500,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,90Nm@ 3500rpm,5,Y,16,Maruti,Zen,Estilo LXI BSIII
96,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,113.7Nm@ 4000rpm,5,Y,12,Hyundai,i20,Asta Optional with Sunroof 1.2
97,Maruti Swift Dzire LDI,2016,600000,150000,East,Massachusetts,Boston,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190Nm@ 2000rpm,5,Y,9,Maruti,Swift,Dzire LDI
98,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,South,Georgia,Atlanta,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,114Nm@ 4000rpm,5,Y,9,Hyundai,Xcent,1.2 Kappa SX Option AT
99,Maruti Alto LX BSIII,2008,120000,68000,West,California,Los Angeles,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5,Y,17,Maruti,Alto,LX BSIII
100,Hyundai i20 1.4 Asta Option,2017,725000,110000,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5,Y,8,Hyundai,i20,1.4 Asta Option
101,Maruti Wagon R VXI,2009,185000,77000,East,District of Columbia,Washington,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,90Nm@ 3500rpm,5,Y,16,Maruti,Wagon,R VXI
102,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,East,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,200Nm@ 1750-3000rpm,5,Y,15,Tata,Manza,Aura (ABS) Quadrajet
103,Maruti Swift VXI,2019,615000,10000,East,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113Nm@ 4200rpm,5,Y,6,Maruti,Swift,VXI
104,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,101Nm@ 3000rpm,7,Y,9,Maruti,Eeco,7 Seater Standard BSIV
105,Maruti Baleno Zeta 1.2,2018,610000,35000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115Nm@ 4000rpm,5,Y,7,Maruti,Baleno,Zeta 1.2
106,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,East,Pennsylvania,Philadelphia,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,290Nm@ 1800-2800rpm,8,Y,11,Mahindra,Scorpio,VLX AT AIRBAG BSIV
107,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Central,Texas,Houston,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,120Nm@ 4250rpm,5,Y,5,Ford,Freestyle,Titanium Petrol BSIV
108,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,East,New York,New York City,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,151Nm@ 4850rpm,5,Y,8,Hyundai,Verna,VTVT 1.6 SX
109,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,250Nm@ 1500~4500rpm,5,Y,15,Volkswagen,Passat,1.8 TSI MT
110,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Central,Illinois,Chicago,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,96 Nm at 3000 rpm,5,Y,15,Tata,Indica,Vista Aura 1.2 Safire (ABS) BS IV
111,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,East,New York,New York City,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,360Nm@ 1750-2800rpm,7,Y,6,Mahindra,XUV500,W11 Option AWD
112,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,East,New York,New York City,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,135Nm@ 2500rpm,5,Y,9,Tata,Indigo,CS LS (TDI) BS-III
113,Hyundai Verna 1.6 SX,2013,522000,150000,East,New York,New York City,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,259.8Nm@ 1900-2750rpm,5,Y,12,Hyundai,Verna,1.6 SX
114,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,East,New York,New York City,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,219.6Nm@ 1500-2750rpm,5,Y,12,Hyundai,i20,Magna 1.4 CRDi (Diesel)
115,Toyota Corolla Altis G,2009,300000,100000,East,New York,New York City,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,173Nm@ 4000rpm,5,Y,16,Toyota,Corolla,Altis G
116,Maruti Celerio VXI,2020,475000,13000,East,New York,New York City,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,90Nm@ 3500rpm,5,Y,5,Maruti,Celerio,VXI
117,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200Nm@ 1750rpm,5,Y,9,Maruti,Vitara,Brezza ZDi Plus Dual Tone
118,Maruti Swift Dzire VXI,2017,595000,40000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115Nm@ 4000rpm,5,Y,8,Maruti,Swift,Dzire VXI
119,Maruti Wagon R VXI BS IV,2017,440000,35000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90Nm@ 3500rpm,5,Y,8,Maruti,Wagon,R VXI BS IV
121,Nissan Terrano XL 85 PS,2014,400000,70000,East,District of Columbia,Washington,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,200Nm@ 1900rpm,5,Y,11,Nissan,Terrano,XL 85 PS
122,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,259.9Nm@ 1900-2750rpm,5,Y,9,Hyundai,Creta,1.6 CRDi SX
123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,East,New York,New York City,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,205Nm@ 1750-3250rpm,5,Y,8,Ford,EcoSport,1.5 Diesel Titanium Plus BSIV
124,Maruti Swift Dzire VDi,2012,370000,175000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,190Nm@ 2000rpm,5,Y,13,Maruti,Swift,Dzire VDi
125,Renault KWID 1.0,2018,350000,25000,East,Massachusetts,Boston,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,91Nm@ 4250rpm,5,Y,7,Renault,KWID,1.0
126,Maruti Celerio VXI,2015,360000,40000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,90Nm@ 3500rpm,5,Y,10,Maruti,Celerio,VXI
127,Maruti Alto LXi,2008,105000,65000,East,Massachusetts,Boston,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5,Y,17,Maruti,Alto,LXi
