,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
1607,Audi,A3 35 TDI Technology + Sunroof,1525000,2016,32000,Diesel,Automatic,Delhi,Red,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50
1034,Audi,A3 35 TFSI Premium Plus,2180000,2018,77590,Petrol,Automatic,Delhi,Blue,First,Individual,1395,148,250 Nm @ 1500 rpm,FWD,4456,1796,1416,5,50
1910,Audi,A3 35 TFSI Premium Plus,2089999,2018,15600,Petrol,Automatic,Lucknow,White,First,Corporate,1395,148,250 Nm @ 1500 rpm,FWD,4456,1796,1416,5,50
1361,Audi,A3 40 TFSI Premium,1760000,2017,48000,Petrol,Automatic,Delhi,White,First,Individual,1798,178,250 Nm @ 1250 rpm,FWD,4456,1796,1416,5,50
721,Audi,A3 40 TFSI Premium Plus + sunroof,2450000,2018,43290,Petrol,Automatic,Pune,Blue,First,Individual,1798,178,250 Nm @ 150 rpm,FWD,4456,1796,1416,5,50
693,Audi,A4 1.8 TFSI Multitronic Premium Plus,4250000,2021,17000,Petrol,Automatic,Mumbai,White,First,Individual,1798,170,320 Nm @ 1400 rpm,FWD,4701,1826,1427,5,63
1377,Audi,A4 1.8 TFSI Multitronic Premium Plus,3125000,2020,28600,Petrol,Automatic,Lucknow,White,First,Individual,1798,170,320 Nm @ 1400 rpm,FWD,4701,1826,1427,5,63
1440,Audi,A4 1.8 TFSI Multitronic Premium Plus,1000000,2010,67000,Petrol,Automatic,Dehradun,Silver,Second,Individual,1798,170,320 Nm @ 1400 rpm,FWD,4701,1826,1427,5,63
69,Audi,A4 2.0 TDI (143 bhp),1250000,2012,50000,Diesel,Automatic,Mumbai,White,First,Individual,1498,116,,,4370,1770,1545,5,50
324,Audi,A4 2.0 TDI (143 bhp),975000,2012,93417,Diesel,Automatic,Lucknow,White,First,Individual,1498,116,,,4370,1770,1545,5,50
895,Audi,A4 2.0 TDI (143 bhp),1150000,2012,40031,Diesel,Automatic,Pune,Blue,Second,Individual,1498,116,,,4370,1770,1545,5,50
1194,Audi,A4 2.0 TDI (143bhp),1575000,2014,15000,Diesel,Automatic,Delhi,Red,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
1642,Audi,A4 2.0 TDI (143bhp),1380000,2014,100000,Diesel,Automatic,Bangalore,Black,First,Individual,1968,141,320 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
717,Audi,A4 2.0 TDI (177bhp) Premium,975000,2011,75000,Diesel,Automatic,Lucknow,Silver,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
1115,Audi,A4 2.0 TDI (177bhp) Premium,1375000,2011,62000,Diesel,Automatic,Chennai,White,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
42,Audi,A4 2.0 TDI (177bhp) Premium Plus,1575000,2013,66000,Diesel,Automatic,Hyderabad,White,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
1620,Audi,A4 2.0 TDI (177bhp) Premium Plus,1175000,2013,50000,Diesel,Automatic,Pune,White,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
612,Audi,A4 2.0 TDI Sline,745000,2013,72000,Diesel,Automatic,Gurgaon,Black,First,Individual,1498,116,,,4370,1770,1545,5,50
1438,Audi,A4 2.0 TDI Sline,975000,2012,56000,Diesel,Automatic,Delhi,White,Second,Individual,1498,116,,,4370,1770,1545,5,50
2009,Audi,A4 2.0 TDI Sline,775000,2012,89000,Diesel,Automatic,Mohali,Black,Second,Individual,1498,116,,,4370,1770,1545,5,50
1397,Audi,A4 2.0 TDI Technology,1150000,2013,30000,Diesel,Automatic,Delhi,Silver,Second,Individual,1498,116,,,4370,1770,1545,5,50
782,Audi,A4 30 TFSI Premium Plus,4250000,2020,17000,Petrol,Automatic,Pune,White,First,Individual,1395,148,250 Nm @ 1500 rpm,FWD,4726,1842,1427,5,54
609,Audi,A4 30 TFSI Technology Pack,3500000,2018,18000,Petrol,Automatic,Mumbai,White,First,Individual,1395,148,250 Nm @ 1500 rpm,FWD,4726,1842,1427,5,54
2010,Audi,A4 30 TFSI Technology Pack,3000000,2017,42000,Petrol,Automatic,Pune,White,First,Individual,1395,148,250 Nm @ 1500 rpm,FWD,4726,1842,1427,5,54
1705,Audi,A4 35 TDI Premium,1950000,2016,57057,Diesel,Automatic,Ludhiana,White,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
1830,Audi,A4 35 TDI Premium Plus,3400000,2019,48000,Diesel,Automatic,Chandigarh,White,First,Individual,1968,188,400 Nm @ 1750 rpm,FWD,4726,1842,1427,5,54
1815,Audi,A4 35 TDI Premium Sunroof,1525000,2015,49000,Diesel,Automatic,Mohali,Silver,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4701,1826,1427,5,63
539,Audi,A4 35 TDI Technology,2799000,2017,72400,Diesel,Automatic,Bangalore,White,First,Individual,1968,188,400 Nm @ 1750 rpm,FWD,4726,1842,1427,5,54
600,Audi,A4 35 TDI Technology,2400000,2017,59267,Diesel,Automatic,Kolkata,Silver,First,Individual,1968,188,400 Nm @ 1750 rpm,FWD,4726,1842,1427,5,54
861,Audi,A4 Premium Plus 40 TFSI,4200000,2021,12321,Petrol,Automatic,Delhi,Black,UnRegistered Car,Individual,1984,188,320 Nm @ 1450 rpm,FWD,4762,1847,1433,5,54
1122,Audi,A4 Premium Plus 40 TFSI,4150000,2022,22000,Petrol,Automatic,Delhi,White,First,Individual,1984,188,320 Nm @ 1450 rpm,FWD,4762,1847,1433,5,54
1746,Audi,A4 Premium Plus 40 TFSI,4151000,2022,1,Petrol,Automatic,Delhi,Black,UnRegistered Car,Individual,1984,188,320 Nm @ 1450 rpm,FWD,4762,1847,1433,5,54
104,Audi,A6 2.0 TDI Premium,1325000,2012,98580,Diesel,Automatic,Goa,White,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
224,Audi,A6 2.0 TDI Premium,1775000,2014,75000,Diesel,Automatic,Ahmedabad,White,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
478,Audi,A6 2.0 TDI Premium,1175000,2012,77000,Diesel,Automatic,Mumbai,Blue,Second,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
728,Audi,A6 2.0 TDI Premium,1500000,2014,69000,Diesel,Automatic,Mohali,Blue,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
1004,Audi,A6 2.0 TDI Premium,1400000,2013,60000,Diesel,Automatic,Pune,Grey,Second,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
1427,Audi,A6 2.0 TDI Premium,1490000,2012,42000,Diesel,Automatic,Raipur,Brown,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
764,Audi,A6 2.0 TDI Premium Plus,1800000,2014,19868,Diesel,Automatic,Delhi,White,First,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
1617,Audi,A6 2.0 TDI Premium Plus,1450000,2014,58000,Diesel,Automatic,Delhi,Black,Second,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
222,Audi,A6 2.0 TFSi Technology Pack,7200000,2021,20000,Petrol,Automatic,Bangalore,White,UnRegistered Car,Individual,1984,180,320 Nm @ 1500 rpm,FWD,4915,1874,1455,5,75
733,Audi,A6 3.0 TDI quattro Premium,1650000,2012,240000,Diesel,Automatic,Lucknow,White,First,Individual,2967,245,500 Nm @ 1400 rpm,AWD,4915,1874,1455,5,75
148,Audi,A6 35 TDI Matrix,3900000,2018,48945,Diesel,Automatic,Goa,Black,First,Corporate,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
668,Audi,A6 35 TDI Matrix,2400000,2017,81802,Diesel,Automatic,Nashik,Blue,Second,Individual,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
801,Audi,A6 35 TDI Matrix,2550000,2015,69500,Diesel,Automatic,Chandigarh,White,Second,Individual,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
955,Audi,A6 35 TDI Matrix,2400000,2015,100000,Diesel,Automatic,Jaipur,Blue,First,Individual,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
1182,Audi,A6 35 TDI Matrix,3400000,2018,51000,Diesel,Automatic,Hyderabad,Red,First,Individual,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
1227,Audi,A6 35 TDI Matrix,3075000,2017,17000,Diesel,Automatic,Delhi,White,First,Individual,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
1779,Audi,A6 35 TDI Matrix,1975000,2015,61000,Diesel,Automatic,Delhi,White,Second,Individual,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
1836,Audi,A6 35 TDI Matrix,4351000,2018,36000,Diesel,Automatic,Pune,White,First,Individual,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
1869,Audi,A6 35 TDI Matrix,3675000,2019,34000,Diesel,Automatic,Ghaziabad,Black,First,Individual,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
1932,Audi,A6 35 TDI Matrix,2425000,2016,60000,Diesel,Automatic,Mumbai,White,First,Individual,1968,190,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75
178,Audi,A6 35 TDI Premium,1450000,2014,33000,Diesel,Automatic,Faridabad,Red,Second,Individual,1968,177,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65
1466,Audi,A6 35 TFSI Matrix,2850000,2017,58000,Petrol,Automatic,Delhi,Black,First,Individual,1798,190,320 Nm @ 1400 rpm,FWD,4933,1874,1455,5,75
901,Audi,A6 Technology 45 TFSI,5300000,2020,36000,Petrol,Automatic,Chennai,Grey,First,Individual,1984,241,370 Nm @ 1600 rpm,FWD,4939,1886,1457,5,73
1840,Audi,A6 Technology 45 TFSI,5800000,2021,7935,Petrol,Automatic,Surat,Brown,UnRegistered Car,Individual,1984,241,370 Nm @ 1600 rpm,FWD,4939,1886,1457,5,73
958,Audi,A7 Sportback 3.0 TDI quattro,2600000,2012,42000,Diesel,Automatic,Lucknow,White,First,Individual,2967,241,500 Nm @ 1400 rpm,AWD,4969,2139,1420,5,65
1340,Audi,A8 3.0 TDI quattro,4900000,2015,32000,Diesel,Automatic,Hyderabad,Blue,First,Individual,2967,247,580 Nm @ 1750 rpm,AWD,5265,1949,1471,4,90
1582,Audi,Q2 Premium 40 TFSI quattro,3450000,2022,4600,Petrol,Automatic,Gurgaon,Blue,First,Individual,1984,188,320 Nm @ 1500 rpm,AWD,4318,1805,1548,5,55
129,Audi,Q2 Premium Plus I 40 TFSI quattro,2950000,2020,10700,Petrol,Automatic,Ahmedabad,White,First,Individual,1984,188,320 Nm @ 1500 rpm,AWD,4318,1805,1548,5,55
194,Audi,Q3 2.0 TDI quattro Premium,1350000,2012,72000,Diesel,Automatic,Hyderabad,White,UnRegistered Car,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
461,Audi,Q3 2.0 TDI quattro Premium,1350000,2015,47706,Diesel,Automatic,Ranchi,Black,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
773,Audi,Q3 2.0 TDI quattro Premium,1850000,2013,44087,Diesel,Automatic,Mumbai,White,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
804,Audi,Q3 2.0 TDI quattro Premium,1390000,2012,69500,Diesel,Automatic,Ahmedabad,Blue,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
289,Audi,Q3 2.0 TDI quattro Premium Plus,1300000,2014,51000,Diesel,Automatic,Raipur,Gold,Second,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
555,Audi,Q3 2.0 TDI quattro Premium Plus,1513000,2015,79000,Diesel,Automatic,Ahmedabad,Blue,Second,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
1481,Audi,Q3 2.0 TDI quattro Premium Plus,1420000,2013,117000,Diesel,Automatic,Chennai,Black,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
947,Audi,Q3 30 TDI Premium FWD,2900000,2017,64000,Diesel,Automatic,Chennai,White,First,Individual,1968,150,340 Nm @ 1750 rpm,FWD,4385,1831,1608,5,64
1812,Audi,Q3 30 TDI Premium FWD,1970000,2017,85000,Diesel,Automatic,Chennai,Blue,Second,Individual,1968,150,340 Nm @ 1750 rpm,FWD,4385,1831,1608,5,64
502,Audi,Q3 35 TDI Premium,1775000,2015,80000,Diesel,Automatic,Chennai,Silver,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
294,Audi,Q3 35 TDI Premium + Sunroof,1798999,2016,84700,Diesel,Automatic,Karnal,White,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
348,Audi,Q3 35 TDI Premium + Sunroof,1695000,2015,60000,Diesel,Automatic,Delhi,White,Second,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
370,Audi,Q3 35 TDI Premium + Sunroof,2375000,2017,61643,Diesel,Automatic,Dehradun,Blue,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
521,Audi,Q3 35 TDI Premium + Sunroof,1685000,2016,80251,Diesel,Automatic,Delhi,Blue,Second,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
568,Audi,Q3 35 TDI Premium + Sunroof,1850000,2015,71700,Diesel,Automatic,Navi Mumbai,White,Second,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
1207,Audi,Q3 35 TDI Premium + Sunroof,1650000,2016,139000,Diesel,Automatic,Jaipur,White,Second,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
1688,Audi,Q3 35 TDI Premium + Sunroof,1950000,2016,84878,Diesel,Automatic,Nashik,White,Second,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
1883,Audi,Q3 35 TDI Premium Plus + Sunroof,1450000,2014,71796,Diesel,Automatic,Bangalore,Blue,Third,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
1900,Audi,Q3 35 TDI Premium Plus + Sunroof,1875000,2016,40000,Diesel,Automatic,Delhi,White,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
81,Audi,Q3 35 TDI quattro Premium Plus,2900000,2018,35000,Diesel,Automatic,Pune,White,First,Individual,1968,184,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
263,Audi,Q3 35 TDI quattro Premium Plus,2475000,2018,38000,Diesel,Automatic,Delhi,Red,First,Individual,1968,184,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
980,Audi,Q3 35 TDI quattro Premium Plus,2100000,2017,42000,Diesel,Automatic,Gurgaon,Silver,First,Individual,1968,184,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
1344,Audi,Q3 35 TDI quattro Premium Plus,2550000,2017,36000,Diesel,Automatic,Delhi,Blue,First,Individual,1968,184,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
1096,Audi,Q3 35 TDI quattro Technology,3250000,2019,41000,Diesel,Automatic,Hyderabad,White,Second,Individual,1968,184,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
1082,Audi,Q3 35 TDI Technology,2150000,2016,95401,Diesel,Automatic,Bangalore,Black,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
978,Audi,Q3 35 TDI Technology with Navigation,1839000,2017,110000,Diesel,Automatic,Mumbai,Blue,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64
1028,Audi,Q5 2.0 TDI quattro Premium,1700000,2014,78000,Diesel,Automatic,Ahmedabad,Brown,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4629,1898,1653,5,75
1605,Audi,Q5 2.0 TDI quattro Premium,2175000,2015,152000,Diesel,Automatic,Surat,White,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4629,1898,1653,5,75
679,Audi,Q5 2.0 TDI quattro Premium Plus,1490000,2012,40000,Diesel,Automatic,Raipur,Black,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4629,1898,1653,5,75
1577,Audi,Q5 2.0 TDI quattro Technology Pack,2690000,2016,57000,Diesel,Automatic,Gurgaon,White,First,Individual,1968,174,380 Nm @ 1750 rpm,AWD,4629,1898,1653,5,75
1579,Audi,Q5 3.0 TDI quattro,825000,2009,63300,Diesel,Automatic,Delhi,White,First,Individual,2967,240,500@1500,,4628,1879,1651,5,75
1087,Audi,Q5 35 TDI Premium Plus,4000000,2018,66000,Diesel,Automatic,Chennai,White,First,Individual,1498,116,,,4370,1770,1545,5,50
1447,Audi,Q5 40 TDI Premium Plus,4475000,2020,18000,Diesel,Automatic,Delhi,White,Second,Individual,1968,188,400 Nm @ 1750 rpm,AWD,4663,1893,1659,5,70
139,Audi,Q5 45 TFSI Premium Plus,5651000,2022,1,Petrol,Automatic,Delhi,Blue,UnRegistered Car,Individual,1984,248,370 Nm @ 1600 rpm,AWD,4663,1898,1659,5,70
1342,Audi,Q7 3.0 TDI quattro Premium,3300000,2014,25000,Diesel,Automatic,Chennai,Brown,Second,Individual,2967,241,550 Nm @ 1750 rpm,AWD,5089,1983,1737,6,100
184,Audi,Q7 3.0 TDI quattro Premium Plus,2450000,2014,48600,Diesel,Automatic,Nashik,Blue,Second,Individual,2967,241,550 Nm @ 1750 rpm,AWD,5089,1983,1737,6,100
239,Audi,Q7 35 TDI Premium + Sunroof,2200000,2014,95000,Diesel,Automatic,Lucknow,White,First,Individual,2967,241,550 Nm @ 1750 rpm,AWD,5089,1983,1737,7,100
896,Audi,Q7 35 TDI Premium + Sunroof,2600000,2015,46000,Diesel,Automatic,Delhi,Black,First,Individual,2967,241,550 Nm @ 1750 rpm,AWD,5089,1983,1737,7,100
960,Audi,Q7 35 TDI Premium + Sunroof,2400000,2014,42533,Diesel,Automatic,Mumbai,Blue,First,Individual,2967,241,550 Nm @ 1750 rpm,AWD,5089,1983,1737,7,100
870,Audi,Q7 35 TDI Premium Plus + Sunroof,2475000,2012,118000,Diesel,Automatic,Bangalore,Black,First,Individual,2967,241,550 Nm @ 1750 rpm,AWD,5089,1983,1737,7,100
130,Audi,Q7 45 TDI Premium Plus,4900000,2018,78000,Diesel,Automatic,Chandigarh,Black,First,Individual,2967,245,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
776,Audi,Q7 45 TDI Premium Plus,5500000,2017,45000,Diesel,Automatic,Mumbai,White,First,Individual,2967,245,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
851,Audi,Q7 45 TDI Premium Plus,5175000,2016,65000,Diesel,Automatic,Pune,Blue,First,Individual,2967,245,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
1198,Audi,Q7 45 TDI Premium Plus,5500000,2017,24000,Diesel,Automatic,Gurgaon,White,First,Individual,2967,245,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
857,Audi,Q7 45 TDI Technology Pack,6700000,2018,39850,Diesel,Automatic,Surat,Blue,First,Individual,2967,245,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
1459,Audi,Q7 45 TDI Technology Pack,3750000,2016,88000,Diesel,Automatic,Delhi,White,Second,Individual,2967,245,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
1485,Audi,Q7 45 TDI Technology Pack,5200000,2017,45000,Diesel,Automatic,Pune,Grey,Second,Individual,2967,245,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
1545,Audi,Q7 45 TDI Technology Pack,5900000,2018,47000,Diesel,Automatic,Delhi,Blue,First,Individual,2967,245,600 Nm @ 1500 rpm,AWD,5052,1968,1740,7,75
643,Audi,Q7 Technology 55 TFSI,9400000,2022,4500,Petrol,Automatic,Delhi,Black,First,Individual,2995,335,500 Nm @ 1370 rpm,AWD,5064,1970,1703,7,85
1164,Audi,Q8 Celebration,9900000,2021,28000,Petrol,Automatic,Hyderabad,Silver,First,Individual,2995,335,500 Nm @ 1370 rpm,AWD,4986,1995,1705,5,85
214,Audi,RS5 4.2 Coupe,3650000,2012,25500,Petrol,Automatic,Mumbai,Blue,Second,Corporate,4163,444,430 Nm @ 4000 rpm,AWD,4649,1860,1366,5,64
424,Audi,RS5 4.2 Coupe,2900000,2011,56000,Petrol,Automatic,Pune,Red,Third,Individual,4163,444,430 Nm @ 4000 rpm,AWD,4649,1860,1366,5,64
365,Audi,TT 2.0 TFSI Quattro,4000000,2014,39394,Petrol,Automatic,Jaipur,White,Second,Individual,1984,208,350 Nm @ 1600 rpm,AWD,4198,1842,1353,2,60
1139,BMW,2 Series Gran Coupe 220d M Sport [2020-2021],4300000,2020,11000,Diesel,Automatic,Pune,Blue,First,Individual,1995,188,400 Nm @ 1750 rpm,FWD,4526,1800,1420,5,50
1813,BMW,2 Series Gran Coupe 220d M Sport [2020-2021],4100000,2020,12136,Diesel,Automatic,Hyderabad,Blue,First,Corporate,1995,188,400 Nm @ 1750 rpm,FWD,4526,1800,1420,5,50
266,BMW,3-Series 320d,800000,2012,75576,Diesel,Automatic,Mumbai,White,Second,Individual,1498,116,,,4370,1770,1545,5,50
1061,BMW,3-Series 320d Highline Sedan,1200000,2012,125000,Diesel,Automatic,Ahmedabad,White,First,Individual,1498,116,,,4370,1770,1545,5,50
317,BMW,3-Series 320d Luxury Edition,4550000,2021,24000,Diesel,Automatic,Delhi,White,First,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4709,1827,1435,5,59
175,BMW,3-Series 320d Luxury Line,2775000,2018,68189,Diesel,Automatic,Jaipur,Brown,First,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
466,BMW,3-Series 320d Luxury Line,4390000,2020,23000,Diesel,Automatic,Mumbai,White,First,Corporate,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
674,BMW,3-Series 320d Luxury Line,1550000,2013,104264,Diesel,Automatic,Hyderabad,Red,Second,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
771,BMW,3-Series 320d Luxury Line,2950000,2018,75000,Diesel,Automatic,Coimbatore,White,First,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
779,BMW,3-Series 320d Luxury Line,4150000,2019,29000,Diesel,Automatic,Delhi,Blue,First,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
786,BMW,3-Series 320d Luxury Line,1375000,2013,102000,Diesel,Automatic,Bangalore,White,Second,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
1236,BMW,3-Series 320d Luxury Line,1395000,2013,65000,Diesel,Automatic,Kolkata,Black,Second,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
1473,BMW,3-Series 320d Luxury Line,1689999,2015,82000,Diesel,Automatic,Delhi,White,Second,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
1254,BMW,3-Series 320d Luxury Line [2014-2016],2100000,2014,103000,Diesel,Automatic,Lucknow,Black,Second,Individual,1995,184,380 Nm @ 1750 rpm,RWD,4624,2031,1429,5,50
1677,BMW,3-Series 320d Luxury Line [2014-2016],3750000,2019,42500,Diesel,Automatic,Delhi,White,First,Individual,1995,184,380 Nm @ 1750 rpm,RWD,4624,2031,1429,5,50
928,BMW,3-Series 320d Prestige,1679000,2016,46000,Diesel,Automatic,Delhi,Blue,Second,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
1221,BMW,3-Series 320d Prestige,2690000,2019,15500,Diesel,Automatic,Delhi,Blue,First,Individual,1995,188,400 Nm @ 1750 rpm,RWD,4633,1811,1429,5,57
480,BMW,3-Series 320d Sport Line,1450000,2013,70000,Diesel,Automatic,Mumbai,Blue,Second,Individual,1995,184,380 Nm @ 1750 rpm,RWD,4624,2031,1429,5,60
508,BMW,3-Series 320d Sport Line,1400000,2014,35000,Diesel,Automatic,Kolkata,Brown,First,Individual,1995,184,380 Nm @ 1750 rpm,RWD,4624,2031,1429,5,60
1452,BMW,3-Series 320d Sport Line,2275000,2015,78362,Diesel,Automatic,Bangalore,Red,First,Individual,1995,184,380 Nm @ 1750 rpm,RWD,4624,2031,1429,5,60
